# id	mode	source	selfhost	expectation	coverage
scalars	run	conformance/pass/scalars.slim	parity	exit=0;stdout=42\n;stderr=	syntax:module,syntax:fn,syntax:call,syntax:let,type:Bool,type:I64,type:U8,type:Unit,effect:io,entry:main-args,builtin:i64.add,builtin:i64.sub,builtin:i64.mul,builtin:i64.div,builtin:i64.rem,builtin:i64.eq,builtin:i64.lt,builtin:i64.le,builtin:i64.gt,builtin:i64.ge,builtin:bool.not,builtin:bool.and,builtin:bool.or,builtin:u8.to-i64,builtin:i64.to-u8,builtin:io.print-i64,builtin:io.println
storage	run	conformance/pass/storage.slim	parity	exit=0;stdout=OK\n;stderr=	type:Bytes,type:Vec,type:Arena,type:Id,effect:alloc,builtin:bytes.len,builtin:bytes.get,builtin:bytes.freeze,builtin:io.print-bytes,builtin:io.read-file,builtin:vec.new,builtin:vec.len,builtin:vec.get,builtin:vec.push,builtin:vec.set,builtin:arena.new,builtin:arena.add,builtin:arena.get,runtime:allocation
allocation-failure	allocation-fail	conformance/pass/storage.slim	parity	exit=71;stdout=;stderr=SLIM allocation failure: exhausted at allocation 2\n	runtime:allocation-failure,runtime:region-destruction
allocation-user-failure	allocation-fail	conformance/pass/lifetimes.slim	parity	exit=71;stdout=;stderr=SLIM allocation failure: exhausted at allocation 2\n	backend:retained-allocation-sites,runtime:allocation-failure
file-input	run	conformance/pass/file_input.slim	parity	exit=0;stdout=OK\n;stderr=	builtin:io.read-file
monotonic-clock	run	conformance/pass/monotonic_clock.slim	parity	exit=0;stdout=OK\n;stderr=	builtin:io.monotonic-ms,effect:io
tcp-exchange	check-pass	conformance/pass/tcp_exchange.slim	parity	-	builtin:io.tcp-exchange,effect:alloc,effect:io,host:bounded-network
structured-fork	run	conformance/pass/structured_fork.slim	parity	exit=0;stdout=OK\n;stderr=	syntax:fork,parallel:explicit-fork,parallel:race-free,parallel:deadlock-free
data	run	conformance/pass/data.slim	parity	exit=0;stdout=42\n;stderr=	syntax:record,syntax:make,syntax:get,syntax:variant,syntax:case,syntax:match,syntax:set
typed-temporaries	run	conformance/pass/typed_temporaries.slim	parity	exit=0;stdout=42\n;stderr=	backend:typed-fact-temporaries,backend:aggregate-links,syntax:make,syntax:case,syntax:match
record-wide	run	conformance/pass/record_wide.slim	parity	exit=0;stdout=42\n;stderr=	backend:aggregate-links,syntax:record,syntax:make,syntax:get,type:canonical-record-fields
variant-local-match	run	conformance/pass/variant_local_match.slim	parity	exit=0;stdout=42\n;stderr=	backend:typed-links,syntax:let,syntax:match,type:variant
computed-variant-match	run	conformance/pass/computed_variant_match.slim	parity	exit=0;stdout=42\n;stderr=	backend:typed-fact-match,backend:computed-scrutinee,syntax:case,syntax:match
variant-wide	run	conformance/pass/variant_wide.slim	parity	exit=0;stdout=42\n;stderr=	backend:aggregate-links,syntax:variant,syntax:case,syntax:match,type:canonical-variant-order
recur	run	conformance/pass/recur.slim	parity	exit=0;stdout=55\n;stderr=	syntax:recur,effect:partial
inout	run	conformance/pass/inout.slim	parity	exit=0;stdout=42\n;stderr=	syntax:inout,ownership:exclusive-borrow
lifetimes	run	conformance/pass/lifetimes.slim	parity	exit=0;stdout=OK\n;stderr=	ownership:lifetime,ownership:aggregate-move,ownership:frozen-view,runtime:region
nested-calls	run	conformance/pass/nested_calls.slim	parity	exit=0;stdout=0\n;stderr=	semantics:left-to-right,backend:nested-call-lowering
planned-allocation-calls	run	conformance/pass/planned_allocation_calls.slim	parity	exit=0;stdout=42\n;stderr=	backend:retained-allocation-sites,backend:nested-call-lowering,effect:alloc
direct-reduction	run	conformance/pass/reduction.slim	parity	exit=0;stdout=42\n;stderr=	analysis:direct-reduction,tool:reduce
reduction-preserves-effects	trap	conformance/pass/reduction_preserve.slim	parity	exit=70;stdout=kept\n;stderr=SLIM runtime trap: I64 addition overflow\n	analysis:effect-preservation,analysis:trap-preservation,ownership:aggregate-move
format	format	conformance/tool/format.slim	parity	-	tool:format
emit	emit	conformance/pass/scalars.slim	parity	-	backend:c11,tool:emit-deterministic
missing-effect	check-fail	conformance/fail/missing_effect.slim	parity	E0343@77:93	diagnostic:E0343,effect:enforcement
missing-clock-effect	check-fail	conformance/fail/missing_clock_effect.slim	parity	E0343@85:102	diagnostic:E0343,effect:io-enforcement
missing-tcp-effect	check-fail	conformance/fail/missing_tcp_effect.slim	parity	E0343@118:173	diagnostic:E0343,effect:io-enforcement
invalid-structured-fork	check-fail	conformance/fail/invalid_structured_fork.slim	parity	E0356@109:209	diagnostic:E0356,parallel:effectful-task-boundary
nonleading-structured-fork	check-fail	conformance/fail/nonleading_structured_fork.slim	parity	E0356@164:268	diagnostic:E0356,parallel:lexical-task-boundary
missing-alloc	check-fail	conformance/fail/missing_alloc.slim	parity	E0343@81:90	diagnostic:E0343,effect:alloc-enforcement
missing-partial	check-fail	conformance/fail/missing_partial.slim	parity	E0343@127:137	diagnostic:E0343,effect:partial-enforcement
use-after-move	check-fail	conformance/fail/use_after_move.slim	parity	E0315@208:214	diagnostic:E0315,ownership:move
aggregate-use-after-move	check-fail	conformance/fail/aggregate_use_after_move.slim	parity	E0315@333:337	ownership:aggregate-move,ownership:lifetime
frozen-source-use	check-fail	conformance/fail/frozen_source_use.slim	parity	E0315@215:221	ownership:frozen-view,ownership:lifetime
variant-use-after-move	check-fail	conformance/fail/variant_use_after_move.slim	parity	E0315@320:325	ownership:aggregate-move,ownership:lifetime
move-from-inout	check-fail	conformance/fail/move_from_inout.slim	parity	E0347@127:133	diagnostic:E0347,ownership:inout-no-move
inout-return	check-fail	conformance/fail/inout_return.slim	parity	E0347@70:76	ownership:inout-no-escape,ownership:lifetime
inout-temporary	check-fail	conformance/fail/inout_temporary.slim	parity	E0348@145:154	diagnostic:E0348,ownership:named-inout
inout-alias	check-fail	conformance/fail/inout_alias.slim	parity	E0349@198:204	diagnostic:E0349,ownership:no-alias
recur-rebind	check-fail	conformance/fail/recur_rebind.slim	parity	E0350@106:111,E0350@112:116	diagnostic:E0350,ownership:recur-preserves-inout
nonexhaustive	check-fail	conformance/fail/nonexhaustive.slim	parity	E0336@58:87	diagnostic:E0336,match:exhaustive
type-mismatch	check-fail	conformance/fail/type_mismatch.slim	parity	E0344@53:57	diagnostic:E0344,type:strong
nested-type-mismatch	check-fail	conformance/fail/nested_type_mismatch.slim	parity	E0344@82:86	diagnostic:E0344,type:nested-annotation
call-arity	check-fail	conformance/fail/call_arity.slim	parity	E0351@115:118	diagnostic:E0351,type:call-arity
call-argument-type	check-fail	conformance/fail/call_argument_type.slim	parity	E0344@113:118	diagnostic:E0344,type:call-argument
unknown-field	check-fail	conformance/fail/unknown_field.slim	parity	E0352@155:162	diagnostic:E0352,type:record-projection
missing-field	check-fail	conformance/fail/missing_field.slim	parity	E0351@119:123	diagnostic:E0351,type:record-construction
variant-payload-type	check-fail	conformance/fail/variant_payload_type.slim	parity	E0344@136:141	diagnostic:E0344,type:variant-payload
match-arm-type	check-fail	conformance/fail/match_arm_type.slim	parity	E0344@106:111	diagnostic:E0344,type:match-result
set-type	check-fail	conformance/fail/set_type.slim	parity	E0344@86:91	diagnostic:E0344,type:mutation
unknown-name	check-fail	conformance/fail/unknown_name.slim	parity	E0314@57:64	diagnostic:E0314,type:binding-resolution
recur-arity	check-fail	conformance/fail/recur_arity.slim	parity	E0351@67:72	diagnostic:E0351,type:recur-arity
field-order	check-fail	conformance/fail/field_order.slim	parity	E0352@122:127	diagnostic:E0352,type:canonical-record-fields
duplicate-field	check-fail	conformance/fail/duplicate_field.slim	parity	E0352@135:139	diagnostic:E0352,type:duplicate-record-field
nonexhaustive-variant	check-fail	conformance/fail/nonexhaustive_variant.slim	parity	E0351@99:104	diagnostic:E0351,match:variant-exhaustive
variant-arm-order	check-fail	conformance/fail/variant_arm_order.slim	parity	E0352@112:116	diagnostic:E0352,match:canonical-variant-order
duplicate-variant-arm	check-fail	conformance/fail/duplicate_variant_arm.slim	parity	E0352@134:138	diagnostic:E0352,match:duplicate-variant-arm
duplicate-boolean-arm	check-fail	conformance/fail/duplicate_boolean_arm.slim	parity	E0335@119:124	diagnostic:E0335,match:duplicate-boolean-arm
unknown-variant-case	check-fail	conformance/fail/unknown_variant_case.slim	parity	E0352@131:138	diagnostic:E0352,type:variant-case
variant-payload-arity	check-fail	conformance/fail/variant_payload_arity.slim	parity	E0351@132:136	diagnostic:E0351,type:variant-payload-arity
unknown-parameter-type	check-fail	conformance/fail/unknown_parameter_type.slim	parity	E0354@49:56	diagnostic:E0354,type:wellformed-parameter
unknown-record-type	check-fail	conformance/fail/unknown_record_type.slim	parity	E0354@49:56	diagnostic:E0354,type:wellformed-record
malformed-composite-type	check-fail	conformance/fail/malformed_composite_type.slim	parity	E0102@60:64	diagnostic:E0102,syntax:composite-type
main-parameter	check-fail	conformance/fail/main_parameter.slim	parity	E0355@26:30	diagnostic:E0355,entry:canonical-signature
main-return	check-fail	conformance/fail/main_return.slim	parity	E0355@23:27	diagnostic:E0355,entry:canonical-signature
unknown-form	check-fail	conformance/fail/unknown_form.slim	parity	E0314@57:63	diagnostic:E0314,type:unknown-callee
qualified-reference	check-fail	conformance/fail/qualified_reference.slim	parity	E0228@54:59	diagnostic:E0228,syntax:qualified-reference
unterminated	check-fail	conformance/fail/unterminated.slim	parity	E0102@76:76	diagnostic:E0102,recovery:malformed
tab-indentation	check-fail	conformance/fail/tab_indentation.slim	parity	E0103@58:59	diagnostic:E0103,syntax:tabs
odd-indentation	check-fail	conformance/fail/odd_indentation.slim	parity	E0104@58:59	diagnostic:E0104,syntax:indent-width
skipped-indentation	check-fail	conformance/fail/skipped_indentation.slim	parity	E0105@62:66	diagnostic:E0105,syntax:indent-level
comma-syntax	check-fail	conformance/fail/comma_syntax.slim	parity	E0106@105:106	diagnostic:E0106,syntax:canonical-punctuation
brace-syntax	check-fail	conformance/fail/brace_syntax.slim	parity	E0106@57:58	diagnostic:E0106,syntax:canonical-punctuation
semicolon-syntax	check-fail	conformance/fail/semicolon_syntax.slim	parity	E0106@62:63	diagnostic:E0106,syntax:canonical-punctuation
unterminated-string	check-fail	conformance/fail/unterminated_string.slim	parity	E0107@105:106	diagnostic:E0107,syntax:string
malformed-block	check-fail	conformance/fail/malformed_block.slim	parity	E0102@72:72	diagnostic:E0102,recovery:parser,syntax:block
empty-effects	check-fail	conformance/fail/empty_effects.slim	parity	E0102@63:64	diagnostic:E0102,effect:canonical
unordered-effects	check-fail	conformance/fail/unordered_effects.slim	parity	E0102@75:80	diagnostic:E0102,effect:canonical-order
tool-patch-non-program	check-fail	conformance/fail/tool_patch.slim	parity	E0102@0:1	tooling:nonexecutable-edit
multiple	check-fail	conformance/fail/multiple.slim	parity	E0336@53:110,E0314@81:88,E0335@93:110,E0344@105:110	recovery:multiple-diagnostics
overflow	trap	conformance/runtime/overflow.slim	parity	exit=70;stdout=;stderr=SLIM runtime trap: I64 addition overflow\n	runtime:overflow-trap
bounds	trap	conformance/runtime/bounds.slim	parity	exit=70;stdout=;stderr=SLIM runtime trap: vector index out of bounds\n	runtime:bounds-trap
subtraction-overflow	trap	conformance/runtime/subtraction_overflow.slim	parity	exit=70;stdout=;stderr=SLIM runtime trap: I64 subtraction overflow\n	runtime:subtraction-overflow-trap
multiplication-overflow	trap	conformance/runtime/multiplication_overflow.slim	parity	exit=70;stdout=;stderr=SLIM runtime trap: I64 multiplication overflow\n	runtime:multiplication-overflow-trap
division-zero	trap	conformance/runtime/division_zero.slim	parity	exit=70;stdout=;stderr=SLIM runtime trap: I64 division by zero\n	runtime:division-zero-trap
division-overflow	trap	conformance/runtime/division_overflow.slim	parity	exit=70;stdout=;stderr=SLIM runtime trap: I64 division overflow\n	runtime:division-overflow-trap
remainder-zero	trap	conformance/runtime/remainder_zero.slim	parity	exit=70;stdout=;stderr=SLIM runtime trap: I64 remainder by zero\n	runtime:remainder-zero-trap
u8-conversion-bounds	trap	conformance/runtime/u8_conversion_bounds.slim	parity	exit=70;stdout=;stderr=SLIM runtime trap: I64 value does not fit U8\n	runtime:u8-conversion-trap
bytes-bounds	trap	conformance/runtime/bytes_bounds.slim	parity	exit=70;stdout=;stderr=SLIM runtime trap: byte index out of bounds\n	runtime:byte-bounds-trap
vector-set-bounds	trap	conformance/runtime/vector_set_bounds.slim	parity	exit=70;stdout=;stderr=SLIM runtime trap: vector index out of bounds\n	runtime:vector-set-bounds-trap
