# category	name	semantic-role	decision
project	manifest-version	versioned-manifest-schema	D0017
project	manifest-shape	canonical-manifest-grammar	D0017
project	module-shape	validated-source-before-semantic-linking	D0050
project	manifest-order	canonical-semantic-order	D0017
project	module-identity	explicit-module-identity	D0017
project	path-confinement	confined-manifest-relative-path	D0017
project	path-identity	unique-resolved-module-path	D0017
project	entry	explicit-entry-module	D0017
project	imports	explicit-direct-imports	D0017
project	cycles	acyclic-import-graph	D0017
project	source-identity	manifest-source-identity-match	D0017
project	exports	exports-name-local-declarations	D0017
project	direct-import	qualified-direct-import-only	D0018
project	visibility	exported-declaration-access	D0018
project	local-qualification	unqualified-local-reference	D0018
project	public-type-closure	closed-public-type-interface	D0019
project	entry-main	sole-entry-main	D0017
project	interfaces	canonical-public-interface	D0019
project	relocation	relocation-independent-artifacts	D0019
project	cache-corruption	validated-persistent-evidence	D0019
project	incremental	declaration-local-project-reuse	D0016
project	jobs	immutable-deterministic-worker-batches	D0020
project	format	canonical-project-format	D0017
project	determinism	deterministic-module-assembly	D0017
project	runtime	explicit-project-entry-runtime	D0017
project	selfhost-classification	explicit-stage-capability	D0015
