# artifact	version	compatibility	canonical-source
source-surface	1	stable-major	design/surface.tsv
project-manifest	1	stable-major	docs/PROJECTS.md
project-interface	1	stable-major	docs/PROJECTS.md
persistent-cache	1	rebuildable	selfhost/cache.slim
diagnostic-codes	1	stable-major	docs/DIAGNOSTICS.md
diagnostic-json	1	stable-major	docs/DIAGNOSTICS.md
analysis	7	versioned-tooling	docs/QUALITY.md
cost-vector	1	versioned-tooling	docs/QUALITY.md
equivalence	2	versioned-tooling	docs/QUALITY.md
reduction-proof	2	versioned-tooling	docs/REDUCTION.md
reduction-verification	1	versioned-tooling	docs/REDUCTION.md
structural-edit	1	versioned-tooling	docs/QUALITY.md
runtime-abi	1	exact-match	runtime/slim_rt.h
c-backend	1	stable-major	docs/CORE.md
