# path	role	maximum-bytes
src/ast.rs	production	3566
src/bin/slim-bench.rs	infrastructure	-
src/bin/slim-bootstrap.rs	infrastructure	-
src/bin/slim-conform.rs	infrastructure	-
src/bin/slim-govern.rs	infrastructure	-
src/bootstrap.rs	infrastructure	-
src/codegen.rs	production	31706
src/compiler.rs	production	3450
src/diagnostic.rs	production	5934
src/driver.rs	production	14647
src/formatter.rs	production	2501
src/incremental.rs	production	43809
src/lexer.rs	production	7441
src/lib.rs	production	394
src/main.rs	production	78
src/parser.rs	production	27088
src/project/cache.rs	production	13976
src/project/interface.rs	production	17095
src/project/manifest.rs	production	15228
src/project/mod.rs	production	19922
src/project/resolver.rs	production	29785
src/project/session.rs	production	34276
src/sema.rs	production	59908
src/sexpr.rs	production	3558
src/span.rs	production	1601
